time,train_id,phase,act,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
360.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,72.21,459.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.5,現在は制限速度未満で平坦区間を惰行中、遅延なしのため安全は低優先度。乗り心地とエネルギー回収を重視し、快適性を高く設定し、効率も適度に加える。
390.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,75.0,34.59,2335.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,現在速度は制限の半分以下で遅延もなく、勾配も平坦なため安全リスクは低い。乗客快適性を重視し、減速は滑らかに行うべきで、回生ブレーキでエネルギー回収の余地もある。今後加速余地が大きく、エネルギー効率を高める余地もある。
450.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,78.4,2033.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.4,0.5,速度が制限値に近く超過リスクは低いが安全は確保すべき。加速中で乗り心地のジャークはやや懸念。エネルギー消費が増えるため効率も考慮。遅延はなし、勾配平坦で回生機会は少ない。
480.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,70.67,1431.3,0.0,15.0,この先制限速度なし,この先目立った勾配なし,0.5,0.7,0.7,速度は制限 below 80km/hで安全余裕あり、上り勾配でエネルギー消費増、遅延なし。快適性と省エネを重視しSurvivalは中程度に設定。
510.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,80.0,827.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.5,0.8,現在は制限速度80km/hで走行中で超過リスクはほぼなし、安全重視はやや低めに設定。加速状態のため乗り心地の変化は中程度で快適性は中程度。エネルギー消費が続くため省エネを促す効率重視を高める。
540.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,80.0,74.59,227.3,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.5,0.4,速度は制限内で遅延なしだが駅手前で減速が必要。急加速は安全リスク低く、乗り心地とエネルギー回収を重視し、Survivalは中程度、Confidenceを高め、Competenceはやや抑える。
600.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,24.0,2175.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.8,駅発車直後の加速で速度は制限の約25%、平坦路、遅延なし。安全リスク低いためSurvival低め、乗り心地と安定性を重視しConfidence中、エネルギー効率的加速を促すためCompetence高めに設定。
630.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.58,1602.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度を下回り平坦区間で惰行中のため安全リスクは低く、安定性は十分確保されているが、乗り心地を重視すべきです。エネルギーは回生余地が少ないが、無駄な加速は避けたいので効率性は中程度に設定します。
660.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,85.93,840.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.3,現在は制限速度を大きく下回り遅延もなし、勾配平坦で安全リスク低。乗り心地と加速の滑らかさを重視し、エネルギー効率は次駅までの加速でやや低めに設定。
690.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,100.0,71.43,83.5,0.0,-15.0,この先制限速度なし,この先目立った勾配なし,0.8,0.4,0.7,駅前減速で速度は制限以下だが停止必須。安全確保を最優先しつつ回生ブレーキで省エネ、ジャーク抑制は中程度。
750.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,44.8,1712.9,0.0,0.0,この先制限速度なし,412m先に下り勾配35.0‰あり,0.7,0.5,0.3,加速中で速度は制限の半分以下だが、近くの下り勾配で将来超速リスクがあるため安全重視。乗客快適性も重要で滑らかな加速を維持し、エネルギー効率は後段に期待できる程度。
780.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.03,1037.6,0.0,-35.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.8,現在速度は制限以下で遅延なし、下り勾配のため安全リスクは低いが、エネルギー回生を活かすべき。快適性は重要なので中程度に設定。したがってSurvivalは低め、Competenceは高め、Confidenceは中程度に設定。
810.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,100.0,95.99,269.3,0.0,0.0,369m先に制限速度70.0km/hあり,この先目立った勾配なし,0.6,0.7,0.5,駅手前減速中で速度は制限内、正確な停止が必要。安全は重要だが快適な減速と回生回収を重視し、Survival0.6、Confidence0.7、Competence0.5とする。
870.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,70.0,20.8,1781.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,現在は駅出発直後の加速段階で速度は制限の30%程度、勾配も平坦、遅延なし。安全リスクは低くSurvivalを低めに設定し、乗り心地とエネルギー効率を重視してConfidenceとCompetenceを高める。
900.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,70.0,59.8,1336.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.3,現在は制限速度70km/hに対し59.8km/hで余裕があり、勾配も平坦な巡航・加速中で安全リスクは低い。乗客快適性を重視しつつ、エネルギー消費は加速段階で増えるため効率重視はやや抑える。
930.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,59.76,808.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.5,現在は制限速度を大きく下回り勾配も平坦で遅延なし、速度超過リスクは低い。快適な巡航を維持しつつエネルギー節約を促すため、Confidenceを高め、Survivalは低め、Competenceは中程度に設定する。
960.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,70.0,66.8,289.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.5,現在は制限速度未満で平坦勾配、遅延なしの減速フェーズの惰行中です。安全リスクは低く、快適性を保ちつつ回生ブレーキでエネルギー回収を促す必要があります。
1050.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,66.37,1327.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度を大きく下回り勾配も平坦で遅延なし。安全リスクは低く、乗り心地を重視すべき。エネルギーは惰行で既に最適化されているため、効率重視は中程度に設定する。Survivalを0.2、Confidenceを0.8、Competenceを0.5に設定し、安定走行と乗客快適性が確保できる。
1080.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,71.53,767.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,制限速度未満で平坦区間を惰行中、遅延なし安全リスク低。乗客快適性を最優先し、エネルギー回生の余地もあるため、Confidence0.8、Survival0.2、Competence0.5に設定。
1110.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,75.0,71.13,212.7,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.5,0.7,速度は制限内で遅延なし、平坦区間の減速フェーズのため安全リスクは低く、乗り心地と回生ブレーキ活用を重視し、Survivalを低め(0.3)、Confidenceを中程度(0.5)、Competenceを高め(0.7)に設定する。
1170.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,80.0,25.6,2271.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.8,現在は駅出発直後の加速フェーズで速度は制限の30%程度、勾配平坦、遅延なし。安全リスクは低く、乗客快適性を保ちつつエネルギー効率的に加速すべき。したがってSurvivalは低め、Confidenceは中程度、Competenceは高めに設定する。
1200.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,69.79,1762.5,0.0,0.0,この先制限速度なし,262m先に上り勾配15.0‰あり,0.6,0.5,0.3,現在は制限速度以下で遅延なし、上り勾配が近いため安全は確保できるが、急加速は不要。快適性を重視しつつ、エネルギー回収の準備で効率も適度に考慮する。次駅までの距離が十分あり、滑らかな加減速で乗客の快適性を保ちつつ、上りに備える。
1230.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,70.74,1161.1,0.0,15.0,この先制限速度なし,この先目立った勾配なし,0.3,0.5,0.7,上り勾配で速度は制限 below、遅延なしで加速中のため安全リスクは低くSurvivalを低めに設定。乗り心地とエネルギー効率を重視し、ConfidenceとCompetenceを高める。
1260.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,72.99,559.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.3,0.7,速度は制限の75%で安全余裕があり、加速中のためエネルギー効率を重視しつつ、乗り心地も維持する。
1290.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,80.0,47.71,2272.7,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,現在は制限速度を大きく下回り遅延もなく、勾配も平坦で安全リスクは低い。減速中だが乗り心地を保ちつつ回生ブレーキでエネルギー回収を狙うため、ConfidenceとCompetenceを高め、Survivalは低めに設定する。
1350.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,67.2,2004.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.5,現在は制限速度を大きく下回り、遅延もなく平坦区間で加速中のため安全リスクは低い。乗り心地とエネルギー効率を重視し、快適性をやや高め、効率性も同等に設定する。
1380.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.58,1257.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.5,現在は制限速度100km/hに対し88.6km/hで平坦区間を走行、次駅まで1257m、遅延0秒と安全余裕が大きく、速度超過リスクは低い。乗客の快適性を最大化しつつ、エネルギー消費の削減も適度に考慮すべきである。
1410.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,85.93,494.9,0.0,0.0,この先制限速度なし,194m先に下り勾配15.0‰あり,0.6,0.5,0.4,現在速度は制限 below で安全だが、194m先の下り勾配により将来超速リスクがある。加速中で乗り心地は重要、エネルギー効率は次の減速で期待できるため、Survivalをやや高め(0.6)、Confidenceを中程度(0.5)、Competenceはやや低め(0.4)に設定する。
1440.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,100.0,21.03,9999.0,0.0,-15.0,この先制限速度なし,この先目立った勾配なし,0.3,0.5,0.7,速度は制限の30%以下で遅延なし、下り勾配で安全リスク低く、減速は回生で省エネ効果大。乗り心地維持も重要。
1500.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,88.0,1463.9,0.0,0.0,この先制限速度なし,163m先に下り勾配35.0‰あり,0.85,0.25,0.6,現在速度は制限 below 100km/hで安全余裕があるが、163m先の急勾配下りにより将来の超速リスクがある。安全を最優先しつつ、回生ブレーキ活用を期待し、快適性はやや抑える。
1530.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,97.31,694.4,0.0,-35.0,この先制限速度なし,この先目立った勾配なし,0.85,0.45,0.6,速度が制限限界に近く下り勾配で超過リスクがあるため安全重視でSurvivalを高く設定し、乗り心地維持のためConfidenceは中程度、回生余地があるのでCompetenceもやや高めに設定する。
1560.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,100.0,51.96,1887.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,速度は制限の半分以下で安全リスク低く、減速中のジャーク抑制と乗客快適性を重視し、回生ブレーキでエネルギー回収を促すため、ConfidenceとCompetenceを高め、Survivalは低めに設定する。
1620.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,70.0,64.0,1622.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.6,0.4,加速フェーズで速度は制限 below、遅延なし。安全リスク低くSurvivalは中程度。乗客快適性を保つためConfidenceを高め、エネルギー効率は加速中限定的なのでCompetenceはやや低めに設定。
1650.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,58.13,1095.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.5,現在は制限速度を大きく下回り遅延もなく、勾配も平坦で安全リスクは低い。快適な巡航が可能なためConfidenceを高め、エネルギー節約は惰行で既に実現しているが更なる効率向上を期待しCompetenceは中程度に設定する。
1680.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,64.96,574.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度未満で平坦区間を惰行中、遅延なしで安全リスク低く、乗り心地重視とエネルギー回収の余地があるため、Survivalを低め、Confidenceを高く、Competenceは中程度に設定する。
1710.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,70.0,64.6,62.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.85,0.15,0.6,駅手前400m以内で加速中、残距離62.8mで速度64.6km/hは制限限界に近く、停車位置超過リスクが高いため安全重視。減速で回生ブレーキ活用が可能だが、加減速切替でジャークが生じやすく快適性は低めに設定。必要なブレーキ制御を促す
1770.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,75.0,43.2,1619.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,現在は加速フェーズで速度は制限の約57%で安全リスク低く、乗客快適性とエネルギー効率を重視すべき。
1800.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,70.86,1075.7,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度未満で遅延なし、勾配も平坦な巡航中の惰行状態。安全リスクは低く、乗り心地と省エネを重視すべき。速度維持と回生ブレーキ活用の余地は小さいが、滑らかな走行を保つためにConfidenceを高く設定する。
1830.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,75.0,72.73,520.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.7,0.3,現在は制限速度に僅かに接近しつつ加速中で、超過リスクは低いが安全は確保すべき。乗り心地とエネルギー効率は比較的重視できるため、Survivalを中程度、Confidenceを高め、Competenceは低めに設定する。
1860.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,75.0,46.59,2369.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.4,0.8,速度は制限以下で遅延なし、勾配も平坦なため安全リスクは低い。現在減速中で回生ブレーキ活用が期待でき、エネルギー効率を重視すべき。乗客快適性は急ブレーキで低下するが、必要なため中程度に設定する。
1920.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,68.8,2094.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.6,速度は制限以下で遅延なし、平坦区間の加速中。安全リスクは低く、乗客快適性とエネルギー効率を同時に高めるため、ConfidenceとCompetenceにやや高い重みを設定する。
1950.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,65.97,1486.9,0.0,15.0,この先制限速度なし,この先目立った勾配なし,0.3,0.7,0.5,現在は制限速度から十分離れ、遅延もなく下り勾配で速度超過リスクは低い。快適な巡航を維持しつつエネルギー回収を促すため、Confidenceを最重視し、Survivalは低め、Competenceは中程度に設定する。
1980.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,80.0,70.74,890.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.5,現在は制限速度を下回り遅延もなく、平坦区間で加速中のため安全リスクは低い。乗り心地とエネルギー効率のバランスを取り、快適性をやや高め、効率性を中程度に設定する。したがってSurvivalは低め、Confidenceはやや高め、Competenceは中程度に設定。
2010.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,80.0,64.99,285.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.7,速度は制限以下で遅延なし、減速フェーズで惰行中のため安全リスクは低いが、駅停車までの滑らかな減速と回生ブレーキ活用が重要。
2070.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,14.4,2191.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,加速段で速度は制限の大幅下回り、危険度低くSurvivalは低め。エネルギー効率と乗り心地を重視し、CompetenceとConfidenceに高い重みを付ける。
2100.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,94.06,1678.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.6,現在は制限速度未満で平坦区間の巡航中。安全リスクは低く、遅延もなし。乗り心地とエネルギー効率を高めることが重要。したがってSurvivalは低め、ConfidenceとCompetenceを高く設定すべき。
2130.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.58,911.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度から十分離れ、平坦区間で惰行中のため安全リスク低。乗り心地を重視し快適性を高く、エネルギー効率は適度に考慮する。したがってSurvivalは低め、Confidenceは高め、Competenceは中程度に設定する。
2160.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,100.0,83.43,148.0,0.0,-15.0,この先制限速度なし,この先目立った勾配なし,0.6,0.5,0.8,速度は制限以下で遅延なしだが駅停車のため安全停止が必須。減速中は回生ブレーキでエネルギー回収を重視し、乗り心地は急ブレーキを避けつつ滑らかさを保つ必要がある。Survivalを中程度、Confidenceをやや高め、Competenceを高く設定。
2220.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,35.2,1746.2,0.0,0.0,この先制限速度なし,446m先に下り勾配35.0‰あり,0.4,0.6,0.5,現在は制限速度を大きく下回り安全リスクは低いが、加速フェーズで速度上昇が続くため将来の速度超過リスクを考慮しつつ、乗客の快適性とエネルギー回生効果をバランスさせる必要がある。したがってSurvivalは中程度、Confidenceは高め、Competenceはやや高めに設定する。
2250.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,89.94,1111.7,0.0,-35.0,この先制限速度なし,この先目立った勾配なし,0.5,0.8,0.6,現在は下り勾配で制限速度未満の巡航状態、遅延なし。安全リスクは低く乗り心地を重視しつつ、回生ブレーキ活用の余地があるため、Survivalは中程度、Confidenceは高く、Competenceはやや高めに設定する。
2280.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,100.0,97.13,351.2,0.0,0.0,451m先に制限速度70.0km/hあり,この先目立った勾配なし,0.85,0.3,0.75,制限速度に近く、次駅まで距離が短く、すぐ70km/h区間へ入るため安全を最優先しつつ、回生ブレーキでエネルギー回収を促す。加速から減速への切替で乗り心地はやや低めに設定し、効率は高めにする。
2340.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,70.0,11.2,1794.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,駅発車直後の加速で速度は制限の1/6程度、リスク低く安全は確保。乗り心地はスムーズな加速が望まれ、エネルギー効率の高い加速が重要なため、Survivalを低め、ConfidenceとCompetenceを高めに設定する。
2370.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,56.54,1383.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度を大きく下回り遅延もなく、勾配も平坦で安全リスクが低い。乗客の快適性を重視しつつ、エネルギー効率も維持するためにSurvivalを低め、Confidenceを高め、Competenceは中程度に設定する。
2400.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,63.17,859.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在は制限速度以下で遅延なし、平坦区間の惰行中のため安全リスクは低く、快適性と省エネを重視すべき。Survivalは低め(0.2)、Confidenceは中程度(0.5)、Competenceは高め(0.7)に設定する。
2430.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,70.0,69.4,346.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.9,0.2,0.7,制限速度に限界付近で加速中で超過リスクが高く、安全性を最優先すべき。減速時の回生で省エネ効果も期待できるが、急加減速は乗り心地を損なうため快適性は低めに設定する。
2460.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,70.0,14.2,1708.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在速度は制限の大幅下回りで安全リスクは低く、遅延もなし。減速中だが低速なのでジャーク影響は小さく快適性を重視し、次駅まで余裕があるためエネルギー回収を活かした効率性も高める。
2520.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,70.2,1384.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度未満で平坦区間を惰行中。安全リスク低く快適性を重視し、エネルギー回収は適度に評価。遅延なしで速度維持が望ましい。先行列車も遠く、急ブレーキ不要。
2550.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,75.0,74.33,828.7,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.8,0.4,速度が制限値に接近しているが超過せず、勾配平坦で遅延なし。安全リスクは低めで、快適な巡航が可能なためConfidenceを高く設定し、加速中のエネルギー消費が中心なのでCompetenceはやや低めにする。
2580.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,75.0,61.53,268.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.7,0.6,速度は制限以下で勾配も平坦、遅延なしの減速フェーズのため安全リスクは低いが、駅止まりに向けて滑らかな減速と回生ブレーキ活用が重要。したがってSurvivalは中程度、Comfortを高めて乗客快適性と制御安定性を確保し、Competenceでエネルギー回収を促す。
2640.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,80.0,16.0,2288.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.7,駅出発直後の加速で速度は制限の5分の1、勾配平坦、遅延なし。安全リスク低くSurvivalを低めにし、乗客快適性とエネルギー効率を重視してConfidenceとCompetenceを高く設定する。
2670.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,66.83,1818.0,0.0,0.0,この先制限速度なし,317m先に上り勾配15.0‰あり,0.2,0.7,0.5,速度は制限の約84%で安全余裕が大きく、遅延なし。乗客快適性を重視し、上り勾配前のエネルギー回収を適度に促す。
2700.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,66.03,1216.7,0.0,15.0,この先制限速度なし,この先目立った勾配なし,0.3,0.7,0.5,現在は制限速度を大きく下回り遅延もなく、下り勾配で速度超過リスクは低い。快適な巡航を維持しつつエネルギー回収を促すため、Survivalを低め、Confidenceを高く、Competenceを中程度に設定する。
2730.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,65.6,616.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,制限速度80km/hに対し65.6km/hと余裕があり勾配も平坦で安全リスクは低い。乗客の快適性を保ちつつ、無駄な加速を抑えて省エネを維持することが最適。
2760.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,80.0,56.11,17.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.5,0.8,現在速度は制限以下で遅延なし、駅手前の減速フェーズのため安全は確実に確保しつつ、停止精度と乗り心地を保ち、回生ブレーキでエネルギー回収を最大化すべき。この状況では速度超過リスクが低く、精密停止とエネルギー回収が主課題となる。
2820.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,57.6,2056.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.6,0.4,駅出発直後の加速で速度は制限の半分以下、平坦路なので安全リスクは低くSurvivalを低めに設定。乗客の快適性とスムーズな加速が重要なためConfidenceを高くし、加速中のエネルギー効率は限定的なのでCompetenceは中程度にする。
2850.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,94.06,1333.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,速度は制限下限内で遅延なし、勾配も平坦なため安全リスクは低く、快適な巡航を重視しつつエネルギー節約も適度に考慮する。したがってSurvivalは0.3、Confidenceは0.6、Competenceは0.5と設定する。
2880.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.58,566.8,0.0,0.0,この先制限速度なし,266m先に下り勾配15.0‰あり,0.5,0.2,0.8,現在は制限速度以下で安定走行中だが、近くに下り勾配があり回生ブレーキ活用が期待できる。安全は確保できるがエネルギー効率を高める必要があるためSurvivalは中程度、Competenceは高め、Comfortは低めに設定。
