time,train_id,group_phase,group_notch,group_delay,group_hunting,current_speed,speed_limit,signal_speed,dist_to_next_station,time_to_next_station,delay,holding_time,prev_notch_duration,hunting_score,llm_reward,nn_output,abs_error,reason
375.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,18.0,0.0,20.0,1.0,25.0,0.0,0.0,1.0,1.0,駅停車完了で速度0のままブレーキを継続し、駅手前で早すぎる停止となっているため停止位置誤差が大きく、遅延とエネルギー無駄が顕著で0.0と評価する。
376.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,18.0,0.0,20.0,5.0,25.0,0.0,0.0,1.0,1.0,駅停車完了でブレーキを継続し、停止位置が18m離れているため適切でなく、遅延拡大も招くため安全上の問題はないが運転品質として不適切であると判断し評価は0.0とした。
2931.8,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,11.2,0.0,32.6,0.0,18.9,0.0,0.0,1.0,1.0,駅停車完了フェーズで停止位置が1mを超えているため即reward0.0ルールが適用され、rewardは0.0となります。
2539.6,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,13.8,0.0,38.8,0.0,19.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が13.8m離れ、1m以内でないため停止位置誤差が致命的と判断し、rewardを0.0とした。
396.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,12.0,0.0,20.0,1.0,8.0,0.0,0.0,1.0,1.0,駅停車完了フェーズで停止位置が12m離れており誤差が10m超のため評価は0.0となる。
398.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,12.0,0.0,20.0,1.0,20.0,0.0,0.0,1.0,1.0,駅手前で停止し位置誤差12mで停止位置未達、さらにブレーキを継続しているため遅延とエネルギー無駄が顕著で0.0と判断。
399.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,12.0,0.0,20.0,5.0,20.0,0.0,0.0,1.0,1.0,駅停車完了フェーズで停止位置誤差が12mと許容範囲(≤10m)を超えており、停止精度が極めて低く0.0点とした。
64.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,15.0,0.0,40.0,1.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が15m離れており、許容誤差10mを超えているため基準上0.0点とした。
71.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,20.0,0.0,40.0,5.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が20m手前に留まり、CBTC信号が70km/hなのに0km/hで停止しているため停止位置誤差が大きく0.0点とした。
304.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,7.5,0.0,20.0,5.0,25.0,0.0,0.1,1.0,0.9,駅停車完了なのに7.5m離れた位置で不要なブレーキを続け、停止位置が大きくずれているため低評価とした。
303.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,7.5,0.0,20.0,1.0,25.0,0.0,0.1,1.0,0.9,停止位置が7.5m手前で速度0のままブレーキを続け、早すぎる停止により遅延が増大したため、評価は低く0.1とした。
146.39999999999935,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,0.0189048956668209,70.0,70.0,65.25576774761532,33.60000000000065,0.0,0.1,0.1,0.98,1.0,0.1,0.9,加速が必要で信号・制限速度を遵守し、合理的な理由があるためノコギリ運転と判定されず、全項目で適切と評価した。
179.89999999999745,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,2.326735877579687,70.0,70.0,26.214958375440744,0.1000000000025522,0.0,0.1,0.1,0.98,1.0,0.1,0.9,delta_stopが正で次駅まで距離が残り、加速が必要なため現在の力行は適切と判断した。
175.99999999999767,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,1.961913399628056,70.0,70.0,28.69934140447583,4.000000000002331,0.0,0.1,0.1,0.98,1.0,0.1,0.9,delta_stopが正で加速が必要と判断され、信号速度内で安全に加速しているため高評価としrewardを1.0とする。
243.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,遅延なし,なし,60.0,70.0,70.0,182.8,21.9,0.0,10.0,12.0,0.0,1.0,0.1,0.9,制限速度・CBTC信号を遵守し、delta_stopが正で停止可能。required_speedと現在速度が一致し惰行でエネルギー効率も高く、上位項目すべて適切なため最高評価とした。
62.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,15.0,0.0,15.0,1.0,15.0,0.0,0.0,0.9,0.9,駅停車完了で停止位置が15m離れており、誤差が10m超過したためrewardは0.0とした。さらに、速度0km/hでブレーキを継続している点も無駄なエネルギー消費と判断した。
247.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,遅延なし,なし,60.0,70.0,70.0,197.8,23.7,0.0,10.0,12.0,0.0,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが正で惰行が適切、速度・信号・制限をすべて遵守しているため最高評価とした。
318.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,9.0,0.0,20.0,1.0,15.0,0.0,0.1,1.0,0.9,停止位置が未達であり、速度0のまま不必要にブレーキを継続しているため遅延が解消せず、運転の適切性は極めて低く0.1点と評価した。
377.0,Train11,駅停車完了（速度0km/h）,惰行中,遅延10秒超,なし,0.0,70.0,70.0,18.0,0.0,20.0,2.0,25.0,0.0,0.0,0.9,0.9,駅停車完了フェーズで18m手前に停止しており、停止位置誤差が10m超のため0.0とした。
195.7999999999965,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.3325647201488122,70.0,70.0,17.773566190204093,0.0,15.899999999996538,0.1,0.1,0.98,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが正、信号速度未超過の中で加速は適切と判断し、即時0点要因はなし。
195.59999999999656,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.3463006664696189,70.0,70.0,17.85585627592212,0.0,15.69999999999655,0.1,0.1,0.98,1.0,0.1,0.9,加速は必要速度未達で正当化され、速度・信号超過なし、ノコギリ運転該当せず、全項目で適切と判断し1.0とした。
190.79999999999683,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.6993503472586056,70.0,70.0,20.0698955556824,0.0,10.899999999996822,0.2,0.2,0.96,1.0,0.1,0.9,加速はdelta_stop>0かつ信号速度内で合理的であり、制限速度・CBTC違反なし、ノコギリ運転でもないため高評価とした。
177.69999999999848,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,5.252451009681952,70.0,70.0,91.63200541573956,2.3000000000015177,0.0,0.1,0.1,0.98,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが大きく、信号速度未超過の中で加速が必要と判断され、適切な力行操作であり、ノコギリ運転や速度超過はなく高評価とした。
199.0999999999981,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.4074926967322492,70.0,70.0,57.65604222225207,0.0,19.199999999998116,0.1,0.2,0.98,1.0,0.1,0.9,次駅減速フェーズでdelta_stop>0のため加速は妥当で、速度・信号遵守、ノコギリ運転なしと評価し、遅延はあるが必要な加速と判断して最高点とした。
338.0,Train11,駅停車完了（速度0km/h）,惰行中,遅延10秒超,なし,0.0,70.0,70.0,11.0,0.0,20.0,2.0,15.0,0.0,0.0,0.9,0.9,駅手前11mで速度0km/hのまま停止し、停止位置誤差が10mを超えているため、停止位置達成可能性が欠如し0.0点とした。
352.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,ノコギリ疑いあり,0.0,70.0,70.0,14.0,0.0,20.0,5.0,5.0,0.0,0.0,0.9,0.9,駅停車完了で列車が駅手前14mで停止しており、停止位置誤差が10mを超えるため0.0点とした。
194.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,遅延10秒超,ノコギリ疑いあり,23.51,70.0,70.0,26.3,0.0,12.7,5.5,0.0,0.0,0.0,0.9,0.9,前ノッチが0秒で力行→減速に切り替わり、保持時間が7秒未満のためノコギリ運転と判定し、上限0.0点となった。
192.2999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.447073194607625,70.0,70.0,60.87250300663527,0.0,12.3999999999985,0.1,0.1,0.98,1.0,0.1,0.9,delta_stopが正で信号速度未超過の中、加速は停車位置達成に必要かつ安全と判断し高評価。
203.79999999999785,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.2143803896418304,70.0,70.0,55.5100344348709,0.0,23.89999999999785,0.1,0.2,0.98,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが正で加速が必要であり、現在の力行は制限速度・CBTC信号を遵守した適切な加速操作と判断したため高評価とした。
390.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,7.0,0.0,20.0,1.0,20.0,0.0,0.1,1.0,0.9,停止位置が7m前で速度0のままブレーキを続け、遅延も生じているため評価は低く0.1点とした。
195.8999999999983,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.6638817863025424,70.0,70.0,59.180582167137175,0.0,15.999999999998296,0.2,0.1,0.96,1.0,0.1,0.9,加速はdelta_stopが正で必要な速度不足を補う正当な操作で、速度・信号超過なし、ノコギリ運転でもなく高評価とする。
196.19999999999828,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.6073811486641176,70.0,70.0,59.02861524230474,0.0,16.299999999998278,0.1,0.1,0.98,1.0,0.1,0.9,次駅までの距離が十分あり、加速は必要速度に達するため適切であり、即時違反やノコギリ運転はなく高評価とした。
218.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,なし,70.0,70.0,70.0,314.5,32.3,0.0,10.0,12.0,0.0,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが正(60m)かつ加速がCBTC上限内であり、停止位置は十分確保できるため現在の力行は適切と判断した。
153.89999999999984,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,0.9045357924502948,70.0,70.0,98.66920578596704,26.100000000000165,0.0,0.1,0.1,0.98,1.0,0.1,0.9,次駅減速フェーズでdelta_stopが正であり加速は必要速度達成のため妥当で、違反やノコギリ運転はなく高評価とした。
152.09999999999994,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,1.3368103609689028,70.0,70.0,99.2945237780134,27.900000000000063,0.0,0.1,0.1,0.98,1.0,0.1,0.9,加速が必要な距離と時間が残っており、信号・制限速度を遵守しつつ適切な加速操作であるため高評価とした。
192.2999999999985,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.447073194607625,70.0,70.0,60.87250300663527,0.0,12.3999999999985,0.1,0.1,0.98,1.0,0.1,0.9,delta_stopが正で信号速度未超過の中、加速は停車位置達成に必要かつ安全と判断し高評価。
191.39999999999856,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,遅延10秒超,ノコギリ疑いあり,1.6148399140651697,70.0,70.0,61.30223202096374,0.0,11.49999999999855,0.1,0.1,0.98,1.0,0.1,0.9,加速は信号遵守かつ遅延回復の合理的操作で、速度超過や停車位置問題はなく、ノコギリ運転でもないため高評価とする。
